,obj,booster,max_depth,score,svr_rbf,svr_linear
0,reg:squarederror,gblinear,4,-0.04830447040802377,svr_rbf,svr_lin
1,reg:squarederror,gblinear,8,-0.04830447040802377,-0.005124102210970483,0.06265337191830389
2,reg:squarederror,gblinear,12,-0.04830447040802377,,
3,reg:squarederror,gbtree,4,-0.9708476963530346,,
4,reg:squarederror,gbtree,8,-0.8593908050073895,,
5,reg:squarederror,gbtree,12,-0.861595293848771,,
6,reg:squarederror,dart,4,-0.9711742186340575,,
7,reg:squarederror,dart,8,-0.8593867157477215,,
8,reg:squarederror,dart,12,-0.8615989721266633,,
9,reg:linear,gblinear,4,-0.04830447040802377,,
10,reg:linear,gblinear,8,-0.04830447040802377,,
11,reg:linear,gblinear,12,-0.04830447040802377,,
12,reg:linear,gbtree,4,-0.9708476963530346,,
13,reg:linear,gbtree,8,-0.8593908050073895,,
14,reg:linear,gbtree,12,-0.861595293848771,,
15,reg:linear,dart,4,-0.9711742186340575,,
16,reg:linear,dart,8,-0.8593867157477215,,
17,reg:linear,dart,12,-0.8615989721266633,,
